,text
2113,"legit israeli bot, just put the profile picture in a AI generated content checker and it came back as “likely AI”, check for yourself."
2114,And ppl with some politicians want to DEFUND the local law enforcement agencies.
2115,"I live in what would be considered a &quot;higher affluent&quot; district in the PNW. The K-12 per annum budget for the district per-capita comes out to $28K PER STUDENT.  This, in an area where the average classroom size is 28. Do the math. $784K per classroom. About $120K of that completely covers the instructor salary, full benefits, and PERS funding (public employees retirement system). The remaining $664K PER CLASSROOM is for &quot;other&quot; expenses.<br><br>To give some perspective on just how much &quot;overhead&quot; is involved in this district, consider this: A student living at home and attending their senior year at the HS &quot;costs&quot; $27K. That same student the following year, still living at home, can then attend college at the state university 15 miles away. Including all tuition, parking, fees, books, etc. It costs HALF the K-12 budgeted per-capita. In short, it costs twice as much to send them to K-12 as it does to attend college. <br><br>&quot;Overhead&quot; indeed.  And, naturally, they&#39;re still screaming for more money EVERY year. And every year state and nationalized academic review ranks the students lower and lower. We&#39;re spending more than ever for an end-product that has never been worse. You&#39;ll see a 76% graduation rate walk across the stage for their diploma, and if asked, maybe a dozen of the could balance a bank account. They will, however,  spend an hour of up-talking if asked how they &quot;feel&quot;."
2116,"LET THEM EAT CAKE! I say, EAT THE RICH!"
2117,"Where I live,I see Black and Brown people behind the desk offering these terrible loans to Black and Brown people--in Black and Brown communities. That&#39;s the saddest part."
2118,Don&#39;t forget the climate crisis...
2119,Okay why am I just not seeing this? I honestly cried so I thank you for making this and helping people like me to overcome hate against ourselves❤️
2120,"My narcissistic ex is literally posting videos victimizing herself, she was so abusive it took me 9 times to work up the courage to leave her. She literally just makes things up and completely believes herself! I have no idea what to do my head is spinning."
2121,A teacher quitting cause the kids cant read is a bit like a firefighter quitting cause buildings keep burning down.
2122,<b>Muslims are FLOODING Western Culture</b>
2123,Well_you ever been freezing with<br>No heat_you use the oven<br>When your cold and their is no <br>Other option
2124,I broke up with a girl using a fortnite meme.
2125,But just 0.2% rich and 99.8% poor.
2126,​@RaidenThaTruth   Nothing Trump has done has made America better off in any way. The US has a trade deficit and China still has the largest trade surplus in the world. The wall hasn&#39;t even been built yet whereas China was building great walls hundreds of years ago before Europeans had even discovered America.
2127,Young conservatives are so disgusting
2128,"WHO CAUSED THE TARRIF???  DRUMPF YOU DUMB FARMERS!!!    YOU WERE ALL MAKING A LIVING WITH THE BLUE TEAM, BUT YOU WANTED THE RED TEAM. <br>OBAMA HAD TO SAVE THE BANKS WHEN HE GOT IT. READ WHAT OUR ECONOMY WAS LIKE AFTER AFTER BUSH LEFT OFFICE.  STUPID FARMERS!!!"
2129,This is so fucked up!!
2130,Nothing speaks to efficiency more than introducing profit oriented middleman.... right ?
2131,"It is estimated that the Japanese massacred between 40,000 and 300,000 innocent Chinese in 40 days, in the worst case this is equivalent to 7,500 murders a day, these were merciless monsters committing war crimes. If I am not mistaken, Iroshima and Nagasaki suffered a total loss of 214,000 innocent people. With all due respect, this seems to be God punishing them with a spoonful of their own medicine. If a country had to receive such impacts, perhaps Japan marked its destiny, an eye for an eye, a tooth for a tooth. Obviously, there are no excuses for committing something so inhumane, however, it is proof that the end does justify the means."
2132,Lmao. Racism is expensive ❤
2133,"Keep crushing toxic masculinity and urging women and men are the same, well, there ya go."
2134,ONE WORD....&quot; BIDEN &quot;...HE KILLED THE MIDDLE CLASS.......PRESIDENT VEGETABLE LASAGNA
2135,"Lol, the teachers are mad now, no more social media checking for the teachers either"
2136,also wtf is the governments problem with saving those people honestly
2137,"I remember when I was a teenager - 14 yrs old - and was having extreme anxiety about school  - my home life and my abusive parents.   My father was in a car pool situation with three other men. Once, I was late for school so I got in the car to be dropped off.  While in the car and before my father got in - the three men started telling me what a total jerk I had for a father. They said they all hated him -  and didn&#39;t want to be around him.  I was devastated - it confirmed what I had knew to be true. I think I&#39;m starting to open up a little.  I never shared these things - I always blamed myself.  I cry a lot and it helps.  After that - I learned my sister was sexually abused by a Catholic priest.  My parents were staunch Catholics - and she knew that if she said anything at all- They would blame her."
2138,There&#39;s nothing the Wall Street journal says that is truth or actual journalism
2139,"This isn&#39;t about the environment. The environment doesn&#39;t care what colour the neighbours of waste are. This is about racial abuse, plain and simple, and it won&#39;t be cured until America faces the fact that it is an apartheid state and goes through a period of truth and reconciliation."
2140,"I used to always have my own place until recently. I had to move back in with my parents and it is torture. Im making the same money that i did when i had my own place, so its just impossible now to make ends meet. People calling Gen Z idiots and lazy should take a closer look at themselves."
2141,"@LC-sc3en I don&#39;t disagree that we are part of this world and consequently there isn&#39;t really a clear distinction between things human and things of nature. And if we keep the earth a place able to sustain life, than that&#39;s obviously in our own best interest.<br> I&#39;m just trying to make 2 points: 1) It doesn&#39;t help mixing things up when we speak of them. Yes, red is also kinda related to green, because the absence of certain wavelength in green light makes red light red, but it doesn&#39;t help anybody to speak of it like that. If we don&#39;t distinguish between topics, we soon won&#39;t be able to talk about them in any other way than something-in-the-world problems. And 2) People out there who become an activist, actually try to do something, will always pick one or two things that they consider most important, most urgent, most in need of their action. There are too many issues in the world for any single person to get up in the morning and think &quot;I&#39;m going to fix the world, now.&quot; The best thing you can expect is &quot;I&#39;m going to fix this part of the world, now.&quot; And I don&#39;t blame people for doing that, I don&#39;t think there is any other way to get stuff done, rather than get muddled up in all the millions of things that actually <i>need</i> fixing. So, what I&#39;m trying to say is: It doesn&#39;t help to ask Greta Thunberg why she doesn&#39;t fight against the gender paygap. She&#39;s already fighting a battle. There is too little of her to fight ten at the same time. Such questions are just another form of whataboutism. And I can say that this kind of attitude has always stopped left-wing movements in Europe from getting anywhere, because all the people who were trying to make the world a better place always derailed into arguing about how and where to save the world best and who you must not be seen with while saving the world. I appreciate anybody who takes up action to make the world a better place. And if they&#39;re doing it saving the whales, then that&#39;s great. They do that and I can focus on other things.<br>(And personally, when it comes to racism, I just don&#39;t care if it comes in mint or strawberry flavour. If people are suffering injustice based on the colour of their skin, then I don&#39;t want that, no matter whether they are being made to feel it by financial, environmental, cultural, or any other means.)"
2142,if i was there i wouldve thrown my freaking EVERYTHING at her
2143,Still has water problems
2144,"My first thought when i came across this video was my mother; i think shes always been by biggest hater and the one who wants only to see me struggle. She criticises and belittles my decisions at every turn, acts as though any line of thought that is not her own is wrong and is known throughout my family for being controlling and overbearing and being labelled as a “helicopter mum”. <br><br>I know that the best thing for me to do is to leave my current life and get as far away from here as possible, but sometimes i just wish someone would hug me and tell me im working hard and that my efforts are being seen &lt;/3"
2145,"<a href=""https://www.youtube.com/watch?v=yhpyHV1iz00&amp;t=462"">7:42</a> you much less financial analysts as one person can do a lot more work with AI. May be AI would completely replace financial analysts.<br><br>I recently saw a news about Chinese hospital where patients can choose AI to get a diagnosis. There are only few doctors to check   and sign their diagnosis. <br><br>So no job is safe from AI."
2146,Her parents are dead because of the dictatorship not because of her
2147,I guess ignoring the overwhelming scientific consensus and now political consensus is your thing. Of course your two sentences refutes all of that 🤣🤣
2148,"My mother used me as a punching bag, because I was always the quiet child and I would let her walk all over me. She would always yell at me for no reason and would make things up just to yell at me and punish me for no reason. I do appreciate everything my mom has done for me. But she was just toxic one time at my friends sweet 16 who happened to be a family friend. My mom was upset because I was just enjoying myself before the party she yelled at me and punched me in the arm for no reason because she said “I left without her” i ignored her during the party and she literally destroyed the photos of that night just so I didn’t have any memories. My mom was very bitter and it backfired because now I get to set boundaries and there is nothing she can do about it. Our communication is very limited I’m not happy about it but I still till this day cannot get over the horrible trauma she put me through."
2149,"White people are always focused on holding minorities down instead of helping all Americans thrive. The rich take advantage of this and cash in on the racism. We don&#39;t have clean water, healthy lunches in schools, or even recess for kids because white people did not want minorities to have it. They don&#39;t have it either. Everyone suffers, the rich buy up everything because white people would rather be poor with minorities then work together so all Americans can thrive."
2150,"Most Westerners have no concept of true poverty. I retired to the Philippines (from the US). Where I live we have non-potable well water, no trash pickup, and no sewage system. What they call a septic tank is a cement tube in the ground; when it gets full they just dig a new one. Sinks &amp; showers drain into the yard, or a storm drain (going directly to the water table, river, and ocean). Trash is burned in the yard. The littering got on my nerves at first, but once you realize they have nowhere to put it that is any better... you begin to understand. It is still frustrating, but understandable. The infrastructure simply does not exist here."
2151,Right here!! Whining because he doesn&#39;t like his child being being disrespected. No one does. Now.. how do they treat Americans in Mexico? I guarantee you if he was still in Mexico he would Not be complaining about anything that anyone from Mexico does to his child. But come to America and they do nothing but complain over a few words. What happens in Mexico?........waiting.....That&#39;s right even if they beat his child in Mexico he would not be standing up complaining. Bullying is wrong. But when you come from a country where murder is common and acceptable and goes unpunished I&#39;d think you&#39;d be a little more tolerant to words. Problem in America is THE ONLY TIME HURTFUL WORDS ARE A PROBLEM IS WHEN ITS COMING FROM WHITE PEOPLE!!
2152,It is not Israel it is beautiful Palestine they think we are terrorist they are wrong they took my beautiful country and we will take it back
2153,I bet had the roles been reversed it would’ve been national news
2154,"My friends tell jokes about suicides. I always laugh so it seems legit. Cuz, to me it&#39;s not joke. It&#39;s a dream. I hope I die. I am starting to cut myself. I know I&#39;m ugly and I&#39;m not even near the smartest in the class. I hate school, but not the way they hate it. I hate it cuz of them. I hate them so much that I pretend I&#39;m sick just so I don&#39;t have to go. But I always and I always will say:I&#39;m fine😌☺️"
2155,"Forgot wife birthday and what anniversary he is on.<br>Off too the couch with him<br><br>He became a US citizen on 13 December 2019, but proposed in October 2011. The annoyed Puffin had 8/11 years longer to learn her birthday, he dated her for 3 years prior, than his social security number."
2156,"I never felt connection with my mother or never thought she loved me. She abandoned me until I finish middle school, when im with her she was verbally and physically abusive. And that&#39;s I think the reason why. Now she&#39;s getting older but I think she&#39;s seeking for attachment but I can&#39;t. I forgive but I never forget all the scars, trauma that she caused me. I&#39;m sorry mother."
2157,I don’t get any help because I saved money by not buying a smart tv and wooden floors. Well fair. Now busy spaffing it all so I can get benefit.
2158,"I have been lonely all my life.  I went to school, work, church, took classes, went to parties but I have always felt lonely in a crowd"
2159,Can we stop with the populist BS. Everyone should be free to move wherever. Nationalism is toxic.
2160,No political party is going to fix or stop what is an economic tsunami adjustment.
2161,"many african countries that suffer the same shit are... mostly christian, and you totally just ignored the fact that the ones the companies these factories work for are western companies.. smartass"
2162,"I feel you, but this helps shift the anger and hurt. You can’t control what other people do. When it comes to people’s choices. Let them live with that choice ,and stay the fuck away from them. Sorry for cursing I’m still going through mine. So I’m going to pure out a little pain and emotion. But yeah let them, just let them. I know it hurts being stabbed in the back and betrayed but running to your abuser for answers is never going to give you closure, because at the end of the day they choose to stab you in the back simply because they could. To be so dismissive of your partner you have a relationship with is evil. But you know what, let them fuck up and let them fuck off. See you when your head is out of your ass."
2163,Just so happen to be a Ukrainian killed by a black man….<br><br>I’m calling CAP.   I’m saying Op.
2164,the last line how democracy can be fragile in the face of angry crowds and a leader ready to feed them
2165,"Push them into Europe,then send the Zionists to chase them out and take Europe"
2166,"Irony in that they&#39;re taught to hate renewables, which will make their bills go down in the long term."
2167,"@jsebby2284 My whole point is that we have the ability to make everybody rich is we wanted to cuz we make our own money, it also makes no sense that the US is in debt when we print money"
2168,"I was in foster care in Washington state. Not only did they place us with a family friend for over a year so they could avoid paying that family any benefits after that they put me in a homeless shelter. The people actually running the shelter couldn&#39;t take us to the dr or dentist. They charged both my parents child support but I didn&#39;t really see that money. I assume it went to the shelter. I almost had to go to truancy court because my caseworker went on vacation without telling me and I needed a paper signed. I felt like cattle just being herded wherever they wanted me until I got myself emancipated, my state funded lawyer laughed when I said that&#39;s what I wanted and then I had to file the paperwork myself!"
2169,I predict homelessness on the streets of Sydney quite soon..
2170,It’s weird hearing these child sex slaves talk like they’re talking about the weather. The disassociation lingers😦
2171,"The bully should be in jail. A sweet girl, RIP. Im so sorry the adults didn’t help you."
2172,Why would the Nazis spare one Jewish family to capture another Jewish family? The reasoning simply makes no sense.
2173,"It has to be like this complet favor of this, we have to fight for our rights! No more work to support the corrupt systems in the world!"
2174,"Been there and done that. Nowadays, I don&#39;t try to fit in anywhere. I love my freedom. I avoid social parasites, clannish snobs, backstabbers, toxic people. I never felt any sense of belonging with them."
2175,"Maybe this is popping up in your recommended for a reason , stand up for your rights today before you lose them"
2176,"She’s on a teachers salary AND tops it up with a second job yet claims she only eats the scraps left the kids haven’t eaten.<br>I could tell she was living beyond her means the moment she said she had to downgrade from bacon and eggs to cereal <br>To most people (including those who can afford it it is a treat, not an everyday occurrence)<br>In my experience most people eat cereal and toast or one or the other.<br>What else is she doing with her money I wonder … 🤔"
2177,"2 year old video, Pol/ack"
2178,I feel like people are laughing at me behind my back or talking about me and looking at me and judging me or think I&#39;m absolutely hideous. I distrust people a lot. I have no self esteem and literally lurch from one disaster from the next people closest to me have literally said to me it would be better if you weren&#39;t here. I&#39;ve often wondered if I&#39;m cursed somehow.
2179,yeah fuck them.  I hope they all go bankrupt and bought out by big corporations.  they vote trump and they wanted this.
2180,The best part is when your reality is denied and invalidated so you get the added pain of feeling like you actually deserve it.
2181,The neo Second Estate needs a haircut; preferably the financial kind.
2182,People complain about blaming the poor for having kids but no one complains about the religious propaganda against contraceptives. Everything is abortion and murder and only women are to blame.
2183,Cut off men&#39;s dicks
2184,"My problem is I can&#39;t help but keep trying. It has done so much damage to my mental health and so much destruction in my interpersonal life. I can&#39;t help but keep trying to explain my feelings and show them how they are harmful. NOTHING works, absolutely nothing. They aren&#39;t the MOST abusive, they aren&#39;t the MOST emotionally neglectful, they aren&#39;t the MOST non self aware, they aren&#39;t the MOST toxic. SO WHY IS IT SO HARD TO HAVE THEM UNDERSTAND??"
2185,New York is Done!!!!!  You could not pay me to go there.  Never been and Never want to go to that dirty rat infested shit hole.
2186,"This is what capitalism has done, Big businesses not paying taxes but marinating in their own sweet, fat greed. <br>Governments stopped building affordable public housing to meet the demands of a growing population. <br>What is so wrong about looking after your own people first  ; housing, health care, education, wages, affordab look e food?<br>Is it not smart to take care of your workforce so that they can be more productive ? <br>How can a homeless person who can barely afford to buy healthy food or get a good night&#39;s sleep be expected to work? <br>Greed has tipped this world over the edge and we are nearing a global catastrophy 😪😪😪😪.<br> Only God can save us so pray hard like your life depends on Him , cos it does ❤"
2187,"These effers are plugging into our electricity. You get to pay, they get cheap power. On you. WTF leadership?"
2188,Does anyone beside me think a lot of this can be fixed by just making sure there are enough cameras in the workplace? One&#39;s with sound that can pick up conversations?
2189,I was made to feel so guilty and think I am a bad person until a friend made me realize that I was being malipulated  and played with because of my big heart
2190,"He&#39;s a brilliant guy but pushes too hard sometimes. The &#39;best of the best&#39; are thoughtful and measured. They do not trudge themselves into oblivion, working 7 days a week, 16-hour days."
2191,"And still today horrible things happen, like religious persecution. The people there indeed have a lot of protesting to do, as they always have."
2192,"Even the comment section is full of idiots who instead of being racist to one another, are now calling one another racist. I think my brain has just committed suicide."
2193,"From Grade 5 up until where I am now, a lot of people would say that I never talk. Even though they have seen me talk before. A lot of people underestimate me."
2194,culture and community habits that cause environmental pollution must be abandoned immediately.
2195,"Our worthless government has spent billions on illegals, yet our seniors suffer.  This is despicable."
2196,"&quot;How Whites Took Over America&quot;    <a href=""https://www.youtube.com/watch?v=faNge-o0V-k"">https://www.youtube.com/watch?v=faNge-o0V-k</a>"
2197,New York is a toilet.....
2198,"Sumit Sharma your personal opinion doesn’t count as a well known fact nibbba, go read about pak Kashmir on the internet/Wikipedia and see how many people are killed /raped /imprisoned by a state army there? The ans is zero ."
2199,"She remember the day we meet and I remembered the day we got separated it has almost been 2 years of breakup but I still feel the same miss her like the same as day one but I just can’t say it to anyone rather than commenting on this video as stranger , idk why I don’t feel going into another relationship to move on from this I feel as it was that even relationship if I move to new one what that even love if I started to love another idk what is this but I want to honour her . I still let her go I said I love her and for her sake of happiness I’ll let her go . Today is her birthday I feel like shit . I feel like wishing her but at same I don’t want that my wish would hamper her birthday so somehow am controlling myself to not to wish her , tons of things are going inside my mind is she waiting for my wish or not ? And if I wish her won’t I irritate her if she has already moved on . Aah shit I guess I need to stop am overthinking a lot ."
2200,The fact he said most people were out of the cabins and it’s fine is crazy for a government to say about it’s people
2201,"These are the most surface level bullshit solutions. Clearly you have never experienced EXTREME loneliness. I literally have 0 friends and 0 family members who understand me, I constantly think of suicide. You think the vast majority of us haven&#39;t tried all this shit? Pretty dumb &quot;reach out to friends&quot; do you think we&#39;d be here looking up videos on how to deal with loneliness if we had friends?"
2202,My mom too :(
2203,My siblings have done the same.  I’m so sorry. I think the siblings scapegoating me after our father passed (and for years before) has been even more painful than his.
2204,"My Dad who has passed away  now. Once  was working on one of our  vehicles with my husband.  Well my Dad broke of a pin rhat was essential the the vehicle to run. I was there when  it happened. <br>My Dad kept saying i didn&#39;t do it on purpose over and over  He told use he would have to take it somewhere to have something done on it. Later he showed me a bill for yhe amount do. It was written in my Dads hand writing.  <br>The bill was for $2,0000. I knew my Dad made up that bill statement.  It crushed my heart. <br>I gave him the $2,0000 anway. To top it off the vehicle never ran again after he sabotaged it. It hurts to this day that he sid that. <br>How could he ruin our vehicle? And the fraudulently take money from us? I don&#39;t understand it at all. Can someone make it make sense."
2205,It&#39;s all engineered to get y&#39;all off the land and into 15 minute urban prisons . .<br>Organisations like Blackrock want to own the ground you walk in . .
2206,"It is true that in the name of holy river Indian people have turned it into hell. I too condemn this deeds. Some greedy, selfish and careless people have thrown Industrial Wastes without proper processing. It saddened my heart. <br>But let me tell you that in your comment, you have generalized entire India. I don&#39;t mind, People see what they want to see. You must visit Indian once, leaving your prejudices  away, that I will validate your judgement."
2207,Mine is the victim constantly he will go such in a rage even if he was the rude one to begin with.
2208,"No slave labor<br>No forced labor<br>Contract/piece meal based<br>Industry average wages paid<br><br>Overworked, yes<br>High pressure, yes<br>No overtime, yes"
2209,​@CabalNewsNetwork youtube shadow banned your comment
2210,Coerced unconsummated marriage
2211,The need for a college degree isn’t important. And if it is so important than who is it important too. I don’t need to go to college to be successful because guess what.... I’m already successful. Everything about college is a scam and so many people been brainwashed that college is the next best thing after high school.
2212,Who cares if a kid did it. That kid would be going down.
2213,"Im 30. And i can say i relate. My siblings have kids and houses respectively. I havent worked in over a year and honestly. It feels like the system was rigged for you to fail if you were born past a certain point. I dont know what to do anymore. And honestly, self deletion seems to be the only answer. As if to say, id rather be dead than homeless. Life isnt fair, but hey. We only have 1 right? And we got that for free."
2214,"I worked at the EEOC office in my city during Anita Hill&#39;s persecution. She was absolutely right. At that time one of Clarence Thomas&#39; cronies was transferred into our office as a manager. He thought that sexual harassment was great fun and didn&#39;t see what all the fuss was about. His wife was up in Chicago recovering from a stroke. He and Thomas were friends. One of my co-workers decided to see what he could give her in exchange for blowjobs in the park . Another co-worker followed them one day and watched them do the deed, so this was fact, not speculation on our part. The woman came back to the office, ducked into the bathroom and brushed her teeth for 20 minutes.  This happened 3 or 4 times a week. She came cheap: a few extra dollars here, a fake brass nameplate on her desk. I wish I was kidding, but I&#39;m not. <br><br>Six months later I was transferred into the manager&#39;s office as his secretary. Once he told me that his reputation was so good that he could rape me and no one would believe me. I smiled at him and replied that we could see whether his good reputation made him bulletproof because I always carried a gun. When I told him that his eyes widened and he backed off. Another time he informed me that he wanted me to accompany him on official business out of town and we&#39;d share the same bed. I reached my limit when he showed up at my house one evening after work and wanted me to take a ride with him. The next day I turned in my resignation effective immediately. <br><br>If I&#39;d thought there was a chance that my complaint would have been taken seriously I would have stood my ground and taken my chances. But remember, even though this was the Equal Employment Opportunity Community (with Clarence Thomas as head) I didn&#39;t stand a chance. I&#39;m pretty sure I&#39;m not the only woman who encountered this, either. I found another job and moved on with my life. This <a href=""http://www.youtube.com/results?search_query=%23metoo"">#MeToo</a> movement is great, but I&#39;ve seen it before and I don&#39;t expect anything to come of it."
2215,This is so heartbreaking. ...God have mercy upon your people.
2216,Did you hear that the UN supplied these drugs that not everyone could have access to…. THE UN aid corrupt as hell
2217,Living paycheck to paycheck no longer serves me financially anymore.  How can  I let go and move on?
2218,"Incredible, when I was in 4th grade I was extremely excited to share with my father that I ranked second in class. Now, almost 30 years later I still remember what he said “why not first?”.<br><br>After years I now realise the impact it has on my personality and how I act but it is still hard to overcome it"
2219,"Sara Dellabella actually, I&#39;ve survived both and id rather be hit, strangled, stabbed or have my finger and ribs broken again rather than hear and witness the most disgusting, vile behaviors I wouldn&#39;t wish on my worst enemy. Both are horrid but wounds heal. Psychological abuse stays for decades"
2220,Only the best can handle it. Quit your whining. You couldnt handle the pressure go get a lower intensive job.<br>Elon Demands you know your limitations then challenge them.<br>He will take 100 percent of your productivity and demand more. That is ehat makes him so incredibly sucsessful.
2221,I’m turning 16 now and she left me 5 years ago. Just sharing
2222,"This is for all you who think homelessness is a problem:<br><br>Except the problem isn&#39;t homelessness, that&#39;s just the symptoms of the real problem.<br>but corporate greed has shoved that form of thinking over Americans,  where most symptoms are the problems, thus getting rich off your ignorance.<br><br>placebo fixes 75% osteoarthritis yet go to the pharmacy and you have tons of less effective products to fix the &quot;problem&quot;<br>the science is clear but money holders make it hard for the truth to reach the public<br>while you all bitch at eachother, they laugh in their mansions"
2223,Government id GOOD at TALK.  ....but not much else.
2224,"How ironic, this is posted a day after my girlfriend breaks up with me :("
2225,Feels like mom shaming. Where are the dads?
2226,"I&#39;m sorry guardian, stopped watching halfway.. these people are crazy.. sick society.. I&#39;ve always believe that such sick dystopian society only exist in Hollywood movies.. what a world we live in.. <br><br>UN has failed, WW III is coming, end of the world is near.. the apocalypse scenes in Hollywood movies will become reality soon.."
2227,this is happening when you have a motherfaker... no religion just money...<br><br>but now this victim looks rich... wonder why ?
2228,I hate that after everything is said and done. The oil industry is still not being held accountable.
2229,@Rupert Red Sad to hear men like you.
2230,What if it&#39;s self imposed isolation for peace? I find that most people in my life like family or friends disappoint me and let me down. It triggers me and makes me feel spiteful and I don&#39;t want to be that way so I just stay to myself. I don&#39;t really see this as a bad thing.
2231,cnn supports this shit
2232,"America and Britain should be there fighting with Hong Kong defending Democracy and liberation of Hong Kong, Taiwan, and Tibet! Stop the Chinese Concentration Camps!"
2233,My enemy is the place where I jailed
2234,"I&#39;m sorry, but why is your young child paying for your older child to go to school to become a doctor? Why are we not addressing that? I certainly have sympathy for these people in Third World countries who cannot afford to even buy food, but going to school to become a doctor is not a necessity. Food and shelter and water are necessities and your young child should not be paying for yourother child to go to college that&#39;s your job as the parent."
2235,"@LassiefromLancs9it hurts but , she’s asked me not to reach out. but that hurts a lot…"
2236,This type of career should be jailed for life
2237,They care so much about the non existent genocide and forced labor in xinjiang but couldn&#39;t be bothered with all these poor people in their own country!
2238,The government the parsite taking half my money a landlord
2239,"What will save us, not allowing products into our country until they cant be sourced anywhere else. And shutting down globalist control of all major corporations and markets. This has been a plan, for decades."
2240,Native Grandmothers are Dangerous. Even The Strongest Native is scared of his Grandmother.
2241,The bully parents should be charged .
2242,Tell me why I use the same analogy with my family and they looked at me like I had a dick on my head
2243,Such people need be take out of street and treat them for mental conditions...
2244,"After watching this I&#39;ve made alot of connections to some stuff that&#39;s been going on with me. Little bit of backstory: Me and my dad used to be extremely close, and then one day (I would say when I was around 3 from what my mom has told me) he started to just yell and fight with momma. I used to have to break them up because I was so scared that it would get physical. I might not remeber much about what the fights were about but I do know that they would have been about every little thing. Then after I tried to break up the fight, did break it up, or they &quot;stopped&quot; then my dad would then threaten me and momma both saying that he would leave us because he felt like he wasnt good enough for us or something along the lines of that. I remember this one time when I was 9 that they were fighting in the basement and I once again was trying to break them up, but my dad was so mad that he jogged(?) over to me (I was standing on the stairs) grabbed my arm hard while digging into my arm with his finger nails, and drug me up the stairs while screaming at me to stop crying and to stfu. After we got up the stairs he threw me against the wall and tried to leave us again. He didnt or atleast he hasn&#39;t yet. I&#39;m 17 now and a have a 11 year old sister, even when she came along nothing really got that much better. He hasn&#39;t ever actually hit us or anything, nor does he have giant fights with momma that much anymore. But looking back after watching this and what happend earlier today, I just cant stop looking at the connections if that makes since. I guess I&#39;m saying all of this because i dont know what to do? I have a therapist but I&#39;m afraid if i tell all of this to her My dad will be arrested. As much as i do still love him and how much momma loves him i cant do that to momma. I guess I&#39;m hoping to get advice about what to do? If there is anyone that sees this video that might have some advice, please let me know what to do?"
2245,"UK Government does not care for the elderly, what a disgusting Government."
2246,“For the next 1000 years it should be mentioned only at night...”
2247,I think one thing that would clarify what type of investigation occurs when somebody alleges sexual allocation. Would be to ask the leading investigator or whoever&#39;s in charge of it. To explain the differences between asexual failure sexual criminal versus those who are physically fit mentally sound spiritually balanced being able to express physical freedom living up to the pleasure potential responsibility of femininity and masculinity. Keep in mind sexual crimes are classified as the weakest form of criminal conduct.
2248,I don’t have a problem with wealth inequality in and of itself.  My objection is when the obscenely rich purchase and lobby politicians to do their bidding in a system of crony capitalism.
2249,this hits me so hard. everyday. every single day. but no one notices.
2250,please loot all these indians of their money and sent them back. They are there just for lifestyle.
2251,What do you think of people who think that having things closer together &quot;looks third world&quot; or is otherwise &quot;bad&quot;?
2252,That thing we call &quot;school&quot; is more accurately called &quot;government schooling&quot; but I prefer the term mass government brainwashing.
2253,I feel sorry for these girls who have been deliberately taught inaccuracies.  There was no massacre involved at the first Thanksgiving.  The first massacre involving the English occurred two years later in Virginia when the Powhatan tribe killed a third of the Jamestown settlers including women and children.  Plymouth colony in 1621 was indeed peaceful and friendly with the Wampanoags.
2254,"Pretty much the same most countries are scared to help Ukraine against the pure evil man named Putin who is committing the crime against humanity, the genocide of Ukrainian people, ordering to kill civilians, babies, children, take Ukrainian people by force to Russia, taking children away from parents and sending them to Russia to make them be adopted by Russians so they forget Ukrainian language. He said he will invade Baltic countries next and only people and countries who understand that evil must be stopped and that being silent is you saying “ yes” to evil and supporting evil people like that guy on the train. If it happened in Kyiv in the train a crowd of Ukrainian men would attack this guy and help this poor girl. I know it because I saw it when I was living in Ukraine. People help each other. That’s the way to be because otherwise you would loose self respect and that’s the worst that can happen to anyone!"
2255,I regret my 3 long term relationships 😑😑😑
2256,"sniff... This is my. I am in elementary school and always alone. I eat alone and everyone talks with their friends... while me, In my own world am sitting alone at recess doing nothing."
2257,If you have debt and go to Starbucks even once you are foolish with your money. If you have debt and you pay someone to paint your fingernails and toenails you are foolish with your money. If you are eating out and you have debt you are a fool when it comes to money. If you are ordering doordash and you have debt you are a fool with money
2258,90days???!!! 🤬🤬🤬🤬wtf ppl. Black
2259,All of those things are happening to me. I hate my life. People say things will get better but they wont. There is no point anymore. This world is evil.
2260,"They have, perhaps thousands of mil/billionaires there, their Bollywood artists among others, why can&#39;t they help, like change the filters and such?<br>And lately, India went to the moon, for what?"
2261,It’s not the wages it’s the devaluation of the money
2262,"That society is produced the man in white hoodie , that society has produced that helpless lamb woman and that society has also produced all the people around the scene who would be in a lot of trouble if they become late at their destination even by 15 minutes . And the police of that society will not be even sympathetic to the one who gets in this brawl ."
2263,How do they video the whole process and not try to stop? Disgusting
2264,Little rich punks .its the upbringing. Every capitalist country probably has divide because of wealth. It’s like the government won’t tax the wealthy because they move there companies over seas. So what is the solution?
2265,"The original comment says boys &amp; girls need protecting ... the Epstein case focus’ on young girls because they came forward .... the Saville case focused heavily on both... All children are very vulnerable to sexual predators as sadly there are so many paedophiles around, in every walk of life  and the ready availability of child pornography on the internet etc gives these sickos access to other monsters to justify their perversions... they have no conscience or care about the pain both emotionally &amp; physically they inflict on their victims and ruin their lives ... they are the worst criminals imaginable and should be punished accordingly"
2266,Wow. My heart is crying at the reality of how much abuse I have endured. Thank you Psych2go
2267,2 victims being victims of a society that made them victims
2268,"Yep, they definitely used to. Now the field is rigged, you need a quick half million from the get-go for just a chance, if even that.​@MyName-gq2co"
2269,"When the billionaires start practicing what they preach  I&#39;ll take note. They own multiple mansions, fly private jets, sail private yachts and complain that my 20 year old Toyota still runs on gas..."
2270,Nanking
2271,Still not solved in 2024💀
